"filename", "language", "Markdown", "JavaScript", "Shell Script", "PowerShell", "HTML", "Docker", "JSON", "Mermaid Radar", "Python", "YAML", "MS SQL", "JavaScript JSX", "PostCSS", "pip requirements", "Ini", "Ignore", "comment", "blank", "total"
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\PROJECT_CONTEXT.md", "Markdown", 938, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 134, 1072
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\PROJECT_CONTEXT2.md", "Markdown", 1017, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 125, 1142
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\README.md", "Markdown", 469, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 126, 595
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\.dockerignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 7, 7, 34
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\Dockerfile", "Docker", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 21
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\README.md", "Markdown", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\api\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\api\routes\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\api\routes\feedback.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 10, 18, 99
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\api\routes\metrics.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 16, 16, 97
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\api\routes\session.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 273, 0, 0, 0, 0, 0, 0, 0, 39, 55, 367
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\api\schemas\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\api\schemas\feedback.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 8, 20
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\api\schemas\session.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 6, 17, 59
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\core\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\core\config.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 9, 25
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\core\database.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 3, 10, 43
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\core\exceptions.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 16, 42
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\db\migrations\init.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 144, 0, 0, 0, 0, 0, 17, 18, 179
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\db\seeds\diagnostic_trees.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 4, 74
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\db\seeds\faqs.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 14, 26, 122
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\db\seeds\historical_cases.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 156, 0, 0, 0, 0, 0, 14, 51, 221
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\db\seeds\knowledge_chunks.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 7, 3, 39
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\db\seeds\vehicles.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 6, 1, 24
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\main.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 6, 14, 62
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\models\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 1, 3, 24
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\models\decision_log.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 2, 9, 31
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\models\feedback.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 2, 9, 32
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\models\knowledge.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 1, 16, 59
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\models\knowledge_chunk.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 6, 14, 64
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\models\message.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 2, 9, 29
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\models\session.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 3, 14, 68
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\models\vehicle.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 9, 28
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\orchestrator\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\orchestrator\graph.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 140, 0, 0, 0, 0, 0, 0, 0, 35, 39, 214
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\orchestrator\nodes\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\orchestrator\nodes\classifier.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 182, 0, 0, 0, 0, 0, 0, 0, 32, 24, 238
