"filename", "language", "Python", "Markdown", "JavaScript", "PostCSS", "MS SQL", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\api\routes\analytics.py", "Python", 192, 0, 0, 0, 0, 0, 23, 35, 250
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\api\routes\knowledge.py", "Python", 103, 0, 0, 0, 0, 0, 10, 23, 136
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\api\routes\metrics.py", "Python", 26, 0, 0, 0, 0, 0, 2, 2, 30
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\api\routes\session.py", "Python", 18, 0, 0, 0, 0, 0, 1, 1, 20
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\api\schemas\session.py", "Python", 7, 0, 0, 0, 0, 0, 1, 3, 11
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\db\seeds\consumo_tree.sql", "MS SQL", 0, 0, 0, 0, 78, 0, 4, 2, 84
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\db\seeds\faqs_enrichment.sql", "MS SQL", 0, 0, 0, 0, 86, 0, 9, 8, 103
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\db\seeds\historical_cases_enrichment.sql", "MS SQL", 0, 0, 0, 0, 77, 0, 13, 28, 118
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\db\seeds\vehicles_enrichment.sql", "MS SQL", 0, 0, 0, 0, 32, 0, 11, 8, 51
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\main.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\orchestrator\graph.py", "Python", 7, 0, 0, 0, 0, 0, 6, 3, 16
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\orchestrator\nodes\classifier.py", "Python", 26, 0, 0, 0, 0, 0, -9, 2, 19
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\orchestrator\nodes\free_text.py", "Python", 20, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\orchestrator\nodes\menu.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\orchestrator\nodes\tree_engine.py", "Python", 46, 0, 0, 0, 0, 0, 5, 7, 58
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\backend\services\response_builder.py", "Python", 61, 0, 0, 0, 0, 0, 6, 0, 67
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\docs\GUIA_DEMO.md", "Markdown", 0, 265, 0, 0, 0, 0, 0, 84, 349
"c:\Users\Carlos\Desktop\Proyectos\poc-asistente-tecnico\frontend\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 11, 3, 3, 17
